file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
geo020s08a0070v01 0.663168 0.865928 geo020s08a0064v01 0.646078 0.841372 0.057922345643
geo020s08a0082v01 0.624177 0.806174 geo020s08a0064v01 0.646078 0.841372 0.0670717822573
geo020s08a0084v01 0.632335 0.817321 geo020s08a0064v01 0.646078 0.841372 0.101678669638
geo020s08a0086v01 0.555576 0.746346 geo020s08a0064v01 0.646078 0.841372 0.0977629939359
geo020s08a0087v01 0.885794 1.091383 geo020s08a0064v01 0.646078 0.841372 0.0661152613839
geo020s08a0098v01 0.697107 0.906689 geo020s08a0064v01 0.646078 0.841372 0.0898547150965
geo020s08a0105v01 0.776023 1.005891 geo020s08a0064v01 0.646078 0.841372 0.110684631797
geo020s08a0107v01 0.751399 0.94525 geo020s08a0064v01 0.646078 0.841372 0.0798105778681
geo020s08a0115v01 0.95126 1.162241 geo020s08a0064v01 0.646078 0.841372 0.101440186983
geo020s08a0116v01 0.782357 0.957425 geo020s08a0064v01 0.646078 0.841372 0.0807662640277
geo020s08a0119v01 0.898461 1.140734 geo020s08a0064v01 0.646078 0.841372 0.0706505566608
geo020s08a0120v01 0.588214 0.787455 geo020s08a0064v01 0.646078 0.841372 0.104313800808
geo020s08a0128v01 0.67874 0.848858 geo020s08a0064v01 0.646078 0.841372 0.0787066796656
geo020s08a0133v01 0.795091 1.001877 geo020s08a0064v01 0.646078 0.841372 0.105075235098
geo020s08a0137v01 0.711285 0.901406 geo020s08a0064v01 0.646078 0.841372 0.0742760242486
geo020s08a0141v01 0.755768 0.961358 geo020s08a0064v01 0.646078 0.841372 0.110715637179
geo020s08a0158v01 0.90654 1.085538 geo020s08a0064v01 0.646078 0.841372 0.0876827696869
geo020s08a0192v01 0.737476 0.920889 geo020s08a0064v01 0.646078 0.841372 0.0768229525232
geo020s08a0194v01 0.658023 0.818327 geo020s08a0064v01 0.646078 0.841372 0.0738339108026
geo020s08a0197v01 0.847269 1.04311 geo020s08a0064v01 0.646078 0.841372 0.0502625008637
geo020s08a0201v01 0.782428 0.980646 geo020s08a0064v01 0.646078 0.841372 0.0648768653705
geo020s08a0203v01 0.693165 0.881949 geo020s08a0064v01 0.646078 0.841372 0.0794271930673
geo020s08a0215v01 0.740317 0.927306 geo020s08a0064v01 0.646078 0.841372 0.0771308701626
geo020s08a0217v01 0.797378 0.986752 geo020s08a0064v01 0.646078 0.841372 0.110612343326
geo020s08a0219v01 0.811493 1.035365 geo020s08a0064v01 0.646078 0.841372 0.114044035221
geo020s08a0240v01 0.831724 1.02012 geo020s08a0064v01 0.646078 0.841372 0.107232459822
geo020s08a0250v01 0.640772 0.856449 geo020s08a0064v01 0.646078 0.841372 0.0910253503502
geo020s08a0008v01 0.749358 0.961481 geo020s08a0068v01 0.814684 1.007574 0.0920237895978
geo020s08a0023v01 0.656796 0.913126 geo020s08a0068v01 0.814684 1.007574 0.108536691264
geo020s08a0057v01 0.774185 0.979869 geo020s08a0068v01 0.814684 1.007574 0.0944805287605
geo020s08a0059v01 0.74669 0.952843 geo020s08a0068v01 0.814684 1.007574 0.0593210367663
geo020s08a0064v01 0.646078 0.841372 geo020s08a0068v01 0.814684 1.007574 0.0705448739076
geo020s08a0070v01 0.663168 0.865928 geo020s08a0068v01 0.814684 1.007574 0.065278513008
geo020s08a0082v01 0.624177 0.806174 geo020s08a0068v01 0.814684 1.007574 0.0756194777771
geo020s08a0084v01 0.632335 0.817321 geo020s08a0068v01 0.814684 1.007574 0.104978183388
geo020s08a0086v01 0.555576 0.746346 geo020s08a0068v01 0.814684 1.007574 0.092558864536
geo020s08a0087v01 0.885794 1.091383 geo020s08a0068v01 0.814684 1.007574 0.068236044095
geo020s08a0098v01 0.697107 0.906689 geo020s08a0068v01 0.814684 1.007574 0.0844545773759
geo020s08a0105v01 0.776023 1.005891 geo020s08a0068v01 0.814684 1.007574 0.106086670106
geo020s08a0107v01 0.751399 0.94525 geo020s08a0068v01 0.814684 1.007574 0.0856602739813
geo020s08a0115v01 0.95126 1.162241 geo020s08a0068v01 0.814684 1.007574 0.102104263659
geo020s08a0116v01 0.782357 0.957425 geo020s08a0068v01 0.814684 1.007574 0.0788057387741
geo020s08a0119v01 0.898461 1.140734 geo020s08a0068v01 0.814684 1.007574 0.0832230502003
geo020s08a0120v01 0.588214 0.787455 geo020s08a0068v01 0.814684 1.007574 0.0958561132425
geo020s08a0128v01 0.67874 0.848858 geo020s08a0068v01 0.814684 1.007574 0.103122956066
geo020s08a0133v01 0.795091 1.001877 geo020s08a0068v01 0.814684 1.007574 0.102870692065
geo020s08a0137v01 0.711285 0.901406 geo020s08a0068v01 0.814684 1.007574 0.0768180468015
geo020s08a0141v01 0.755768 0.961358 geo020s08a0068v01 0.814684 1.007574 0.107167221439
geo020s08a0158v01 0.90654 1.085538 geo020s08a0068v01 0.814684 1.007574 0.0876576213218
geo020s08a0192v01 0.737476 0.920889 geo020s08a0068v01 0.814684 1.007574 0.0850692587456
geo020s08a0194v01 0.658023 0.818327 geo020s08a0068v01 0.814684 1.007574 0.0713250701049
geo020s08a0197v01 0.847269 1.04311 geo020s08a0068v01 0.814684 1.007574 0.0676108981629
geo020s08a0201v01 0.782428 0.980646 geo020s08a0068v01 0.814684 1.007574 0.065419540726
geo020s08a0203v01 0.693165 0.881949 geo020s08a0068v01 0.814684 1.007574 0.0695672384274
geo020s08a0215v01 0.740317 0.927306 geo020s08a0068v01 0.814684 1.007574 0.0753387340537
geo020s08a0217v01 0.797378 0.986752 geo020s08a0068v01 0.814684 1.007574 0.1022713777
geo020s08a0219v01 0.811493 1.035365 geo020s08a0068v01 0.814684 1.007574 0.11660322967
geo020s08a0240v01 0.831724 1.02012 geo020s08a0068v01 0.814684 1.007574 0.105319534696
geo020s08a0250v01 0.640772 0.856449 geo020s08a0068v01 0.814684 1.007574 0.0872562222004
geo020s08a0008v01 0.749358 0.961481 geo020s08a0070v01 0.663168 0.865928 0.0963727248913
geo020s08a0023v01 0.656796 0.913126 geo020s08a0070v01 0.663168 0.865928 0.0988900702988
geo020s08a0057v01 0.774185 0.979869 geo020s08a0070v01 0.663168 0.865928 0.0925059622162
geo020s08a0059v01 0.74669 0.952843 geo020s08a0070v01 0.663168 0.865928 0.0730833478173
geo020s08a0064v01 0.646078 0.841372 geo020s08a0070v01 0.663168 0.865928 0.057922345643
geo020s08a0068v01 0.814684 1.007574 geo020s08a0070v01 0.663168 0.865928 0.065278513008
geo020s08a0082v01 0.624177 0.806174 geo020s08a0070v01 0.663168 0.865928 0.0734535704315
geo020s08a0084v01 0.632335 0.817321 geo020s08a0070v01 0.663168 0.865928 0.106060827505
