file_A;onset_A;offset_A;#item_A;phone_A;new_A;file_B;onset_B;offset_B;#item_B;phone_B;speaker;question_B;new;dist
geo020s08a0203v01;0.737069;0.866069;#230;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.0762150160983
geo020s08a0215v01;0.784613;0.913613;#240;p>a;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.114619069061
geo020s08a0217v01;0.847427;0.976427;#244;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.1187572761
geo020s08a0219v01;0.881031;1.010031;#245;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.132281815049
geo020s08a0240v01;0.886368;1.015368;#273;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.116742186952
geo020s08a0250v01;0.700244;0.829244;#288;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.116615495803
geo020s08a0008v01;0.809288;0.938288;#6;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0985769008559
geo020s08a0023v01;0.756105;0.885105;#23;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.106516917915
geo020s08a0059v01;0.809141;0.938141;#53;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.116568574852
geo020s08a0064v01;0.70452;0.83352;#61;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.12738895623
geo020s08a0068v01;0.873685;1.002685;#66;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.139151622949
geo020s08a0070v01;0.723302;0.852302;#69;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0901818518201
geo020s08a0082v01;0.672542;0.801542;#84;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.13258478067
geo020s08a0084v01;0.680439;0.809439;#87;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.113760753923
geo020s08a0086v01;0.604739;0.733739;#91;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0930496977589
geo020s08a0087v01;0.947635;1.076635;#93;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0891732855079
geo020s08a0098v01;0.750093;0.879093;#104;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0902332774791
geo020s08a0105v01;0.834203;0.963203;#111;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.101144769484
geo020s08a0107v01;0.793341;0.922341;#115;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.080235789482
geo020s08a0115v01;0.998281;1.127281;#123;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.107224563287
geo020s08a0116v01;0.822226;0.951226;#125;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.144920168896
geo020s08a0119v01;0.945455;1.074455;#129;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0848585307006
geo020s08a0120v01;0.634487;0.763487;#131;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0879074429195
geo020s08a0128v01;0.710235;0.839235;#139;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.120928966967
geo020s08a0133v01;0.854538;0.983538;#145;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.126399237381
geo020s08a0137v01;0.76199;0.89099;#150;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.129882355908
geo020s08a0141v01;0.803768;0.932768;#155;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.096058981093
geo020s08a0158v01;0.947753;1.076753;#179;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.120750096875
geo020s08a0192v01;0.785025;0.914025;#213;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0887201880231
geo020s08a0194v01;0.702436;0.831436;#217;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.157029330634
geo020s08a0197v01;0.903041;1.032041;#220;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.12269001296
geo020s08a0201v01;0.835774;0.964774;#227;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.11365326583
geo020s08a0203v01;0.737069;0.866069;#230;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0945069251145
geo020s08a0215v01;0.784613;0.913613;#240;p>a;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.110118657783
geo020s08a0217v01;0.847427;0.976427;#244;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0894832082143
geo020s08a0219v01;0.881031;1.010031;#245;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.100914374913
geo020s08a0240v01;0.886368;1.015368;#273;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.0765319414439
geo020s08a0250v01;0.700244;0.829244;#288;pa;new;geo020s08a0057v01;0.810292;0.939292;#52;p>a;s08;question;new;0.106309827362
geo020s08a0008v01;0.809288;0.938288;#6;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.112654812769
geo020s08a0023v01;0.756105;0.885105;#23;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.111443461671
geo020s08a0057v01;0.810292;0.939292;#52;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.116568574852
geo020s08a0064v01;0.70452;0.83352;#61;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0757025430997
geo020s08a0068v01;0.873685;1.002685;#66;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0737857952034
geo020s08a0070v01;0.723302;0.852302;#69;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0734772675411
geo020s08a0082v01;0.672542;0.801542;#84;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0839352057332
geo020s08a0084v01;0.680439;0.809439;#87;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.112394667011
geo020s08a0086v01;0.604739;0.733739;#91;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.116187088999
geo020s08a0087v01;0.947635;1.076635;#93;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0811798127491
geo020s08a0098v01;0.750093;0.879093;#104;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0823266168687
geo020s08a0105v01;0.834203;0.963203;#111;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.12467862221
geo020s08a0107v01;0.793341;0.922341;#115;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.108504591127
geo020s08a0115v01;0.998281;1.127281;#123;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.103571124524
geo020s08a0116v01;0.822226;0.951226;#125;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0942083193169
geo020s08a0119v01;0.945455;1.074455;#129;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0809775750882
geo020s08a0120v01;0.634487;0.763487;#131;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.112789583076
geo020s08a0128v01;0.710235;0.839235;#139;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0925594658968
geo020s08a0133v01;0.854538;0.983538;#145;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.114607498443
geo020s08a0137v01;0.76199;0.89099;#150;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0851767704936
geo020s08a0141v01;0.803768;0.932768;#155;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.12362910233
geo020s08a0158v01;0.947753;1.076753;#179;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.08814205335
geo020s08a0192v01;0.785025;0.914025;#213;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0985206904461
geo020s08a0194v01;0.702436;0.831436;#217;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0970947367712
geo020s08a0197v01;0.903041;1.032041;#220;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0730213207357
geo020s08a0201v01;0.835774;0.964774;#227;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0698484923865
geo020s08a0203v01;0.737069;0.866069;#230;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0708936782828
geo020s08a0215v01;0.784613;0.913613;#240;p>a;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0672717701485
geo020s08a0217v01;0.847427;0.976427;#244;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.11680249829
geo020s08a0219v01;0.881031;1.010031;#245;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.127508321488
geo020s08a0240v01;0.886368;1.015368;#273;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.114635760433
geo020s08a0250v01;0.700244;0.829244;#288;pa;new;geo020s08a0059v01;0.809141;0.938141;#53;p>a;s08;question;new;0.0913882512053
geo020s08a0008v01;0.809288;0.938288;#6;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.124757930287
geo020s08a0023v01;0.756105;0.885105;#23;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.114763294285
geo020s08a0057v01;0.810292;0.939292;#52;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.12738895623
geo020s08a0059v01;0.809141;0.938141;#53;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0757025430997
geo020s08a0068v01;0.873685;1.002685;#66;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0830661945643
geo020s08a0070v01;0.723302;0.852302;#69;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0738504681251
geo020s08a0082v01;0.672542;0.801542;#84;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0693297884811
geo020s08a0084v01;0.680439;0.809439;#87;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.120967719481
geo020s08a0086v01;0.604739;0.733739;#91;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.116669090024
geo020s08a0087v01;0.947635;1.076635;#93;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0779744932348
geo020s08a0098v01;0.750093;0.879093;#104;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0876385576948
geo020s08a0105v01;0.834203;0.963203;#111;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.137459082706
geo020s08a0107v01;0.793341;0.922341;#115;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0933037931268
geo020s08a0115v01;0.998281;1.127281;#123;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.119992931608
geo020s08a0116v01;0.822226;0.951226;#125;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0877192643548
geo020s08a0119v01;0.945455;1.074455;#129;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0981856280858
geo020s08a0120v01;0.634487;0.763487;#131;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.123419774844
geo020s08a0128v01;0.710235;0.839235;#139;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.073679299577
geo020s08a0133v01;0.854538;0.983538;#145;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.118927746496
geo020s08a0137v01;0.76199;0.89099;#150;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0699189694066
geo020s08a0141v01;0.803768;0.932768;#155;pa;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.132802201385
geo020s08a0158v01;0.947753;1.076753;#179;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0905524007287
geo020s08a0192v01;0.785025;0.914025;#213;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0769945400192
geo020s08a0194v01;0.702436;0.831436;#217;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0950692243213
geo020s08a0197v01;0.903041;1.032041;#220;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0513293079497
geo020s08a0201v01;0.835774;0.964774;#227;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0676327695974
geo020s08a0203v01;0.737069;0.866069;#230;p>a;new;geo020s08a0064v01;0.70452;0.83352;#61;p>a;s08;question;new;0.0860669455798
