 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
23 geo020s09a0180v01 1.145317 1.214692 geo020s09a0192v01 1.144809 1.246073 0.142363495335
24 geo020s09a0213v01 1.281384 1.368419 geo020s09a0192v01 1.144809 1.246073 0.0597882934289
25 geo020s09a0045v01 1.415956 1.486712 geo020s09a0213v01 1.281384 1.368419 0.105780816746
26 geo020s09a0057v01 1.874305 2.002329 geo020s09a0213v01 1.281384 1.368419 0.0898492775803
27 geo020s09a0080v01 1.210721 1.288513 geo020s09a0213v01 1.281384 1.368419 0.0551798862196
28 geo020s09a0180v01 1.145317 1.214692 geo020s09a0213v01 1.281384 1.368419 0.135881418815
29 geo020s09a0192v01 1.144809 1.246073 geo020s09a0213v01 1.281384 1.368419 0.0597882934289
0 geo020s08a0119v02 1.12028 1.161996 geo020s08a0118v02 0.868953 0.933639 0.167989671342
1 geo020s08a0120v02 0.916801 1.015052 geo020s08a0118v02 0.868953 0.933639 0.191749320349
2 geo020s08a0215v02 0.858613 0.928809 geo020s08a0118v02 0.868953 0.933639 0.0959940452632
3 geo020s08a0216v02 0.618323 0.67239 geo020s08a0118v02 0.868953 0.933639 0.114367131914
4 geo020s08a0221v02 1.0452 1.110918 geo020s08a0118v02 0.868953 0.933639 0.105887010635
5 geo020s08a0222v02 1.003408 1.070977 geo020s08a0118v02 0.868953 0.933639 0.0922762424737
6 geo020s08a0118v02 0.868953 0.933639 geo020s08a0119v02 1.12028 1.161996 0.167989671342
7 geo020s08a0120v02 0.916801 1.015052 geo020s08a0119v02 1.12028 1.161996 0.0950318445181
8 geo020s08a0215v02 0.858613 0.928809 geo020s08a0119v02 1.12028 1.161996 0.187843152483
9 geo020s08a0216v02 0.618323 0.67239 geo020s08a0119v02 1.12028 1.161996 0.193549458498
10 geo020s08a0221v02 1.0452 1.110918 geo020s08a0119v02 1.12028 1.161996 0.172475628547
11 geo020s08a0222v02 1.003408 1.070977 geo020s08a0119v02 1.12028 1.161996 0.181454116021
12 geo020s08a0118v02 0.868953 0.933639 geo020s08a0120v02 0.916801 1.015052 0.191749320349
13 geo020s08a0119v02 1.12028 1.161996 geo020s08a0120v02 0.916801 1.015052 0.0950318445181
14 geo020s08a0215v02 0.858613 0.928809 geo020s08a0120v02 0.916801 1.015052 0.178955929086
15 geo020s08a0216v02 0.618323 0.67239 geo020s08a0120v02 0.916801 1.015052 0.187659642863
16 geo020s08a0221v02 1.0452 1.110918 geo020s08a0120v02 0.916801 1.015052 0.19216654831
17 geo020s08a0222v02 1.003408 1.070977 geo020s08a0120v02 0.916801 1.015052 0.194684375026
18 geo020s08a0118v02 0.868953 0.933639 geo020s08a0215v02 0.858613 0.928809 0.0959940452632
19 geo020s08a0119v02 1.12028 1.161996 geo020s08a0215v02 0.858613 0.928809 0.187843152483
20 geo020s08a0120v02 0.916801 1.015052 geo020s08a0215v02 0.858613 0.928809 0.178955929086
21 geo020s08a0216v02 0.618323 0.67239 geo020s08a0215v02 0.858613 0.928809 0.105435315244
22 geo020s08a0221v02 1.0452 1.110918 geo020s08a0215v02 0.858613 0.928809 0.115195465253
23 geo020s08a0222v02 1.003408 1.070977 geo020s08a0215v02 0.858613 0.928809 0.0960439248159
24 geo020s08a0118v02 0.868953 0.933639 geo020s08a0216v02 0.618323 0.67239 0.114367131914
25 geo020s08a0119v02 1.12028 1.161996 geo020s08a0216v02 0.618323 0.67239 0.193549458498
26 geo020s08a0120v02 0.916801 1.015052 geo020s08a0216v02 0.618323 0.67239 0.187659642863
27 geo020s08a0215v02 0.858613 0.928809 geo020s08a0216v02 0.618323 0.67239 0.105435315244
28 geo020s08a0221v02 1.0452 1.110918 geo020s08a0216v02 0.618323 0.67239 0.116448814844
29 geo020s08a0222v02 1.003408 1.070977 geo020s08a0216v02 0.618323 0.67239 0.111031035615
30 geo020s08a0118v02 0.868953 0.933639 geo020s08a0221v02 1.0452 1.110918 0.105887010635
31 geo020s08a0119v02 1.12028 1.161996 geo020s08a0221v02 1.0452 1.110918 0.172475628547
32 geo020s08a0120v02 0.916801 1.015052 geo020s08a0221v02 1.0452 1.110918 0.19216654831
33 geo020s08a0215v02 0.858613 0.928809 geo020s08a0221v02 1.0452 1.110918 0.115195465253
34 geo020s08a0216v02 0.618323 0.67239 geo020s08a0221v02 1.0452 1.110918 0.116448814844
35 geo020s08a0222v02 1.003408 1.070977 geo020s08a0221v02 1.0452 1.110918 0.0469264481086
36 geo020s08a0118v02 0.868953 0.933639 geo020s08a0222v02 1.003408 1.070977 0.0922762424737
37 geo020s08a0119v02 1.12028 1.161996 geo020s08a0222v02 1.003408 1.070977 0.181454116021
38 geo020s08a0120v02 0.916801 1.015052 geo020s08a0222v02 1.003408 1.070977 0.194684375026
39 geo020s08a0215v02 0.858613 0.928809 geo020s08a0222v02 1.003408 1.070977 0.0960439248159
40 geo020s08a0216v02 0.618323 0.67239 geo020s08a0222v02 1.003408 1.070977 0.111031035615
41 geo020s08a0221v02 1.0452 1.110918 geo020s08a0222v02 1.003408 1.070977 0.0469264481086
0 geo020s09a0086v01 0.943701 1.004696 geo020s09a0084v01 1.134292 1.205841 0.0604116685237
1 geo020s09a0105v01 1.321692 1.404988 geo020s09a0084v01 1.134292 1.205841 0.0877743548015
2 geo020s09a0107v01 1.130221 1.203975 geo020s09a0084v01 1.134292 1.205841 0.06338890114
3 geo020s09a0126v01 1.199311 1.266671 geo020s09a0084v01 1.134292 1.205841 0.110804389099
4 geo020s09a0240v01 1.712697 1.784068 geo020s09a0084v01 1.134292 1.205841 0.0858002861097
5 geo020s09a0242v01 1.184629 1.273188 geo020s09a0084v01 1.134292 1.205841 0.0615504710822
6 geo020s09a0084v01 1.134292 1.205841 geo020s09a0086v01 0.943701 1.004696 0.0604116685237
7 geo020s09a0105v01 1.321692 1.404988 geo020s09a0086v01 0.943701 1.004696 0.0675255004926
8 geo020s09a0107v01 1.130221 1.203975 geo020s09a0086v01 0.943701 1.004696 0.0662213868741
9 geo020s09a0126v01 1.199311 1.266671 geo020s09a0086v01 0.943701 1.004696 0.119722766808
10 geo020s09a0240v01 1.712697 1.784068 geo020s09a0086v01 0.943701 1.004696 0.078826530755
11 geo020s09a0242v01 1.184629 1.273188 geo020s09a0086v01 0.943701 1.004696 0.05694892421
12 geo020s09a0084v01 1.134292 1.205841 geo020s09a0105v01 1.321692 1.404988 0.0877743548015
13 geo020s09a0086v01 0.943701 1.004696 geo020s09a0105v01 1.321692 1.404988 0.0675255004926
14 geo020s09a0107v01 1.130221 1.203975 geo020s09a0105v01 1.321692 1.404988 0.0802362876462
